Protocol,mean,std,count
ARP,42.0,0.0,4
DATA,1032.7367549668875,873.0506716032094,2416
DNS,135.16161616161617,54.25628529343212,594
DTLS,684.111549073709,503.345680801525,2537
ICMPV6,94.88888888888889,21.05703428335666,18
MDNS,152.1818181818182,45.57152220810313,11
NTP,90.0,0.0,2
OCSP,723.0,328.09754647055803,2
QUIC,872.633567018939,568.3922806722927,19114
SSDP,214.0,0.0,4
STUN,112.0952380952381,51.4354322100626,63
TCP,544.2335170442948,871.1066905970823,44091
TLS,1710.3877281460134,881.1863756003283,41640
